עיר,רחוב,שם הצהרון,גיל,תאריך,יום,חוג/הפעלה,שעה,קבוצה,איש קשר,מדריכה
"פ""ת",רח' קרן קימת לישראל 40,גן צלף,5,29/07/26,יום רביעי,חוג בוקר,11:25,"פ""ת - 7",גל - 054-4733717,רמי שמש
"פ""ת",רח' אפרתי שמחה 4 (דרך הגינה),גן גלים,5,29/07/26,יום רביעי,חוג צהרון,13:45,"פ""ת - 3",אבי - 054-9052207,מורן דגיר
"פ""ת",רח' רחל המשוררת 12,גן קורל,3,29/07/26,יום רביעי,חוג צהרון,14:30,"פ""ת - 3",גל - 054-4733717,מורן דגיר
ראש העין,רח' גרטרוד עליון 20,גן יובל,4,22/07/26,יום רביעי,חוג בוקר,09:00,ראש העין - 6,מיקה - 054-3018445,חוי פוקס
ראש העין,רח' גרטרוד עליון 18,גן פלג,5,22/07/26,יום רביעי,חוג בוקר,09:45,ראש העין - 6,מיקה - 054-3018445,חוי פוקס
ראש העין,רח' חרצית 3,גן זמיר,4,22/07/26,יום רביעי,חוג בוקר,10:40,ראש העין - 6,בתאל - 054-5714464,חוי פוקס
ראש העין,רח' חרצית 1,גן לבונה,5,22/07/26,יום רביעי,חוג בוקר,11:25,ראש העין - 6,בתאל - 054-5714464,חוי פוקס
ראש העין,רח' נווה אפיקים 3,"ביה""ס נופים - ג'",א-ג,26/07/26,יום ראשון,חוג בוקר,10:15,,מירב - 050-7161716,עליזה אברבנל
ראש העין,רח' נווה אפיקים 1,"ביה""ס נווה דליה - א'-ב'",א-ג,26/07/26,יום ראשון,חוג בוקר,11:15,,דנית - 050-6909070,עליזה אברבנל
ראש העין,רח' נווה אפיקים 1,"ביה""ס נווה דליה - ג'",א-ג,26/07/26,יום ראשון,חוג בוקר,12:00,,דנית - 050-6909070,עליזה אברבנל
ראש העין,רח' נתן אלתרמן 10(מתחם גנים),גן אסיף,5,26/07/26,יום ראשון,חוג צהרון,13:15,ראש העין - 3,בתאל - 054-5714464,חוי פוקס
ראש העין,רח' נחום גוטמן 4 (פינת לאה גולדברג),גן אגוז,5,26/07/26,יום ראשון,חוג צהרון,14:00,ראש העין - 2,בתאל - 054-5714464,חוי פוקס
ראש העין,רח' עפרה חזה 4 (מאחורי בית כנסת צעירי אפק),גן חיטה,5,28/07/26,יום שלישי,חוג בוקר,10:00,ראש העין - 1,מיקה - 054-3018445,עליזה אברבנל
ראש העין,רח' עפרה חזה 4 (מאחורי בית כנסת צעירי אפק),גן לוטוס,5,28/07/26,יום שלישי,חוג בוקר,10:45,ראש העין - 1,בתאל - 054-5714464,עליזה אברבנל
ראש העין,רח' עפרה חזה 4 (מאחורי בית כנסת צעירי אפק),גן נבטים,4,28/07/26,יום שלישי,חוג בוקר,11:30,ראש העין - 1,בתאל - 054-5714464,עליזה אברבנל
ראש העין,רח' עפרה חזה 4 (מאחורי בית כנסת צעירי אפק),גן צנובר,4,28/07/26,יום שלישי,חוג בוקר,12:15,ראש העין - 1,בתאל - 054-5714464,עליזה אברבנל
ראש העין,רח' בWAZE בית הקשת/נווה אפיקים,גן רותם,4,28/07/26,יום שלישי,חוג צהרון,13:15,ראש העין - 4,בתאל - 054-5714464,חוי פוקס
ראש העין,רח' כינור 28 (בסוף הרחוב משמאל),גן שמש,5,28/07/26,יום שלישי,חוג צהרון,14:00,ראש העין - 4,מיקה - 054-3018445,חוי פוקס
ראש העין,רח' כינור 28 (בסוף הרחוב משמאל),גן כרכום,4,28/07/26,יום שלישי,חוג צהרון,14:45,ראש העין - 4,מיקה - 054-3018445,חוי פוקס
ראש העין,רח' גרטרוד עליון 20,גן יובל,4,29/07/26,יום רביעי,חוג בוקר,09:00,ראש העין - 6,מיקה - 054-3018445,חוי פוקס
ראש העין,רח' גרטרוד עליון 18,גן פלג,5,29/07/26,יום רביעי,חוג בוקר,09:45,ראש העין - 6,מיקה - 054-3018445,חוי פוקס
ראש העין,רח' חרצית 3,גן זמיר,4,29/07/26,יום רביעי,חוג בוקר,10:40,ראש העין - 6,בתאל - 054-5714464,חוי פוקס
ראש העין,רח' חרצית 1,גן לבונה,5,29/07/26,יום רביעי,חוג בוקר,11:25,ראש העין - 6,בתאל - 054-5714464,חוי פוקס
